AT,V,AP,AT_V,AT_RH,PE_Label
14.96,41.76,1024.07,624.7296,1094.6232,3
25.18,62.96,1020.04,1585.3328,1487.6344,2
5.11,39.4,1012.16,201.334,470.83540000000005,4
20.86,57.32,1010.24,1195.6951999999999,1598.7104,2
10.82,37.5,1009.23,405.75,1045.4284,4
26.27,59.44,1012.23,1561.4887999999999,1543.8879,2
15.89,43.96,1014.02,698.5244,1195.5636,3
9.48,44.71,1019.12,423.85080000000005,629.7564000000001,4
14.64,45.0,1021.78,658.8000000000001,603.9,4
11.74,43.56,1015.14,511.3944,830.2528,4
17.99,43.72,1008.64,786.5228,1349.9696,3
20.14,46.93,1014.66,945.1702,1293.3908000000001,3
24.34,73.5,1011.31,1788.99,2048.2110000000002,2
25.71,58.59,1012.77,1506.3489000000002,1589.6493,3
26.19,69.34,1009.48,1816.0146000000002,2293.9821,2
21.42,43.79,1015.76,937.9818,922.7736,3
18.21,45.0,1022.86,819.45,889.3764000000001,3
11.04,41.74,1022.6,460.8096,855.7103999999999,4
14.45,52.75,1023.97,762.2375,918.8755,3
13.97,38.47,1015.15,537.4259,772.2616,3
17.76,42.42,1009.09,753.3792000000001,1176.7776000000001,3
5.41,40.07,1019.16,216.77870000000001,350.40569999999997,5
7.76,42.28,1008.52,328.0928,646.4856,4
27.23,63.9,1014.3,1739.997,1284.9837,2
27.36,48.6,1003.18,1329.696,1502.8848,2
27.47,70.72,1009.97,1942.6783999999998,2049.8114,2
14.6,39.31,1011.11,573.926,1058.792,3
7.91,39.96,1023.57,316.0836,699.5604,4
5.81,35.79,1012.14,207.9399,536.1468,4
30.53,65.18,1012.69,1989.9454000000003,1277.6805000000002,2
23.87,63.94,1019.02,1526.2478,1056.9636,2
26.09,58.41,1013.64,1523.9169,1684.8922,2
29.27,66.85,1011.11,1956.6994999999997,1851.3274999999999,2
27.38,74.16,1010.08,2030.5007999999998,2152.3417999999997,2
24.81,63.94,1018.76,1586.3513999999998,1104.2930999999999,2
12.75,44.03,1007.29,561.3825,1140.615,3
24.66,63.73,1011.4,1571.5818,1837.6632,2
16.38,47.45,1010.08,777.231,1455.5267999999999,3
13.91,39.35,1014.69,547.3585,1050.3441,3
23.18,51.3,1012.04,1189.134,1822.8752,2
22.47,47.45,1007.62,1066.2015,1722.3255000000001,2
13.39,44.85,1017.24,600.5415,1077.0916,3
9.28,41.54,1018.33,385.4912,741.3792,4
11.82,42.86,1014.12,506.6052,1043.4696000000001,4
10.27,40.64,1020.63,417.3728,868.8419999999999,4
22.92,63.94,1019.28,1465.5048000000002,978.4548,2
16.0,37.87,1020.24,605.92,1254.56,3
21.22,43.43,1010.96,921.5845999999999,1295.9053999999999,2
13.46,44.71,1014.51,601.7966,673.0,4
9.39,40.11,1029.14,376.6329,725.7531000000001,4
31.07,73.5,1010.58,2283.645,1356.5161999999998,2
12.82,38.62,1018.71,495.10839999999996,1074.316,3
32.57,78.92,1011.6,2570.4244,2164.9279,2
8.11,42.18,1014.82,342.0798,754.9599,4
13.92,39.39,1012.94,548.3088,1120.8383999999999,4
23.04,59.43,1010.23,1369.2672,1589.5295999999998,2
27.31,64.44,1014.65,1759.8564,1564.0437,2
5.91,39.33,1010.18,232.4403,564.5823,5
25.26,61.08,1013.68,1542.8808000000001,1811.6472,2
27.97,58.84,1002.25,1645.7548,1618.9036,2
26.08,52.3,1007.03,1363.984,1651.9071999999999,2
29.01,65.71,1013.61,1906.2470999999998,1394.5107,2
12.18,40.1,1016.67,488.418,1118.9766,4
13.76,45.87,1008.89,631.1712,1200.8352,3
25.5,58.79,1016.02,1499.145,1642.2,2
28.26,65.34,1014.56,1846.5084000000002,1226.484,2
21.39,62.96,1019.49,1346.7144,1545.2136,3
7.26,40.69,1020.43,295.40939999999995,654.9972,4
10.54,34.03,1018.71,358.6762,779.9599999999999,4
27.71,74.34,998.14,2059.9614,1990.9634999999998,2
23.11,68.3,1017.83,1578.4129999999998,2001.7882,2
7.51,41.01,1024.61,307.9851,731.5491,4
26.46,74.67,1016.65,1975.7682000000002,2234.2824,2
29.34,74.34,998.58,2181.1356,2392.6769999999997,2
10.32,42.28,1008.82,436.3296,780.8112,4
22.74,61.02,1009.56,1387.5948,1805.7833999999998,2
13.48,39.85,1012.71,537.178,794.1068,4
25.52,69.75,1010.36,1780.02,2298.3312,2
21.58,67.25,1017.39,1451.2549999999999,1704.82,2
27.66,76.86,1001.31,2125.9476,1921.5402,2
26.96,69.45,1013.89,1872.372,1387.6312,2
12.29,42.18,1016.53,518.3922,1021.6676999999999,3
15.86,43.02,1012.18,682.2972,639.6338,3
13.87,45.08,1024.42,625.2596,1133.0403,3
24.09,73.68,1014.93,1774.9512000000002,2277.7095,2
20.45,69.45,1012.53,1420.2525,1877.5145,2
15.07,39.3,1019.0,592.251,958.7533999999999,3
32.72,69.75,1009.6,2282.22,1614.732,2
18.23,58.96,1015.55,1074.8408,1268.9903,3
35.56,68.94,1006.56,2451.5064,1377.95,1
18.36,51.43,1010.57,944.2547999999999,1655.5212,3
26.35,64.05,1009.81,1687.7175,2140.674,2
25.92,60.95,1014.62,1579.824,1256.0832,2
8.01,41.66,1014.49,333.6966,614.5272,4
19.63,52.72,1025.09,1034.8935999999999,1004.2707999999999,3
20.02,67.32,1012.05,1347.7463999999998,1528.3268,2
10.08,40.72,1022.7,410.4576,678.384,4
27.23,66.48,1005.23,1810.2504000000001,1426.3074000000001,2
23.37,63.77,1013.42,1490.3049,1786.4028,2
18.74,59.21,1018.3,1109.5954,1715.6469999999997,2
14.81,43.69,1017.19,647.0489,1064.8390000000002,4
23.1,51.3,1011.93,1185.03,1849.155,3
10.72,41.38,1021.6,443.59360000000004,683.6144,4
29.46,71.94,1006.96,2119.3524,1834.1796,1
8.1,40.64,1020.66,329.18399999999997,721.224,4
27.29,62.66,1007.63,1709.9913999999999,1583.3658,2
17.1,49.69,1005.53,849.6990000000001,1399.122,3
11.49,44.2,1018.79,507.85800000000006,1047.1986,4
23.69,65.59,1010.85,1553.8271000000002,2106.5148000000004,2
13.51,40.89,1011.03,552.4239,1146.0533,4
9.64,39.35,1015.1,379.33400000000006,884.5664000000002,4
25.65,78.92,1010.83,2024.298,2220.264,2
21.59,61.87,1011.18,1335.7732999999998,1235.1639,2
27.98,58.33,1013.92,1632.0734,1517.915,2
18.8,39.72,1001.24,746.736,1199.44,3
18.28,44.71,1016.99,817.2988,616.2188000000001,3
13.55,43.48,1016.08,589.154,911.2375000000001,3
22.99,46.21,1010.71,1062.3679,1381.9288999999999,2
23.94,59.39,1014.32,1421.7966000000001,1784.727,2
13.74,34.03,1018.69,467.5722,925.2516,4
21.3,41.1,1001.86,875.4300000000001,910.575,3
27.54,66.93,1017.06,1843.2522000000001,1520.208,3
24.81,63.73,1009.34,1581.1412999999998,2074.3641,2
4.97,42.85,1014.02,212.9645,441.2366,4
15.22,50.88,1014.19,774.3936000000001,1523.8264000000001,3
23.88,54.2,1012.81,1294.296,1540.7376,2
33.01,68.67,1005.2,2266.7967,1697.0440999999998,2
25.98,73.18,1012.28,1901.2164000000002,2228.5644,2
28.18,73.88,1005.89,2081.9384,2125.0537999999997,2
21.67,60.84,1017.93,1318.4028,1768.9221,2
17.67,45.09,1014.26,796.7403000000002,917.4264000000002,3
21.37,57.76,1018.8,1234.3312,1498.4644,3
28.69,67.25,1017.71,1929.4025000000001,1544.3827,2
16.61,43.77,1012.25,727.0197000000001,1282.7903000000001,3
27.91,63.76,1010.27,1779.5416,1832.8497,2
20.97,47.43,1007.64,994.6071,1492.6446,2
10.8,41.66,1013.79,449.928,885.168,4
20.61,62.91,1013.24,1296.5750999999998,1639.3194,2
25.45,57.32,1011.7,1458.7939999999999,1198.4405000000002,2
30.16,69.34,1007.67,2091.2944,1739.9304,2
4.99,39.04,1020.45,194.80960000000002,393.66110000000003,4
10.51,44.78,1012.59,470.6378,896.3979,4
33.79,69.05,1001.62,2333.1994999999997,1355.9927,2
21.34,59.8,1016.92,1276.1319999999998,1644.4604,3
23.4,65.06,1014.32,1522.404,1576.6919999999998,2
32.21,68.14,1003.34,2194.7894,2011.1924,1
14.26,42.32,1016.0,603.4832,1104.1518,3
27.71,66.93,1016.85,1854.6303000000003,1628.5167000000001,2
